objectID,color_eligible,color_analysis_status,primary_image_url,bw_grayscale_ratio,top_color_hex,dominant_colors_hex,dominant_colors_share,color_group_id,color_group_label,no_bg_image_path,no_bg_image_exists,dominant_color_foreground_pixels
40959,True,eligible,https://images.metmuseum.org/CRDImages/as/original/79_2_815_O1_sf.jpg,0.04829600,#959383,"[""#959383"", ""#9b9a8c"", ""#a4a59b"", ""#fefefe"", ""#abaca3"", ""#a2a295"", ""#9d9d92"", ""#999585""]","[0.04740681, 0.029166, 0.02778761, 0.02550282, 0.02432824, 0.01610619, 0.01599356, 0.01519442]",6,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40959_no_bg.png,True,186450
40960,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/29468.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40960_no_bg.png,False,
41076,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP294390.jpg,0.24172800,#fefefc,"[""#fefefc"", ""#f3f3ec"", ""#ebebe4"", ""#fbfbf4"", ""#f4f5f2"", ""#e3e3dc"", ""#dbdbd4"", ""#ecedea""]","[0.03278, 0.01653, 0.015735, 0.014105, 0.013215, 0.01316, 0.010355, 0.00927]",7,gray,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/41076_no_bg.png,True,201760
41749,True,eligible,https://images.metmuseum.org/CRDImages/as/original/23_225_54_ab_O1_sf.jpg,0.00680400,#d3dcd3,"[""#d3dcd3"", ""#94958c"", ""#9b9c94"", ""#b3b4ac"", ""#babbb3"", ""#ccd4cb"", ""#fefefd"", ""#a3a49b""]","[0.05329, 0.05075, 0.04434, 0.034025, 0.03243, 0.031065, 0.029395, 0.02818]",7,gray,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/41749_no_bg.png,True,372557
41753,True,eligible,https://images.metmuseum.org/CRDImages/as/original/23_225_107_O1_sf.jpg,0.00468400,#cbc5b3,"[""#cbc5b3"", ""#bbb5a4"", ""#c3bcab"", ""#dddaca"", ""#d3cdbb"", ""#b3ad9c"", ""#dad6c4"", ""#bdb9ab""]","[0.03170688, 0.02976053, 0.0271397, 0.02664508, 0.02299006, 0.02288728, 0.02101159, 0.01885326]",9,white,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/41753_no_bg.png,True,155676
42011,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP703026.jpg,0.55830000,#242323,"[""#242323"", ""#2b2523"", ""#332b24"", ""#1c1c1b"", ""#24221d"", ""#3b332c"", ""#2c2a24"", ""#231d1b""]","[0.017575, 0.015385, 0.014895, 0.01488, 0.01434, 0.01367, 0.013425, 0.012965]",5,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/42011_no_bg.png,True,242733
42190,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP271348.jpg,0.25107600,#657174,"[""#657174"", ""#14233c"", ""#8b9ca4"", ""#0c1b34"", ""#fdfefe"", ""#73848b"", ""#1c2b44"", ""#131d33""]","[0.02198, 0.019425, 0.01818, 0.0157, 0.015055, 0.014815, 0.01462, 0.014535]",4,blue,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/42190_no_bg.png,True,230803
42191,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-23919-001.jpg,0.37255600,#fdfefd,"[""#fdfefd"", ""#1b243b"", ""#1c2b44"", ""#1b2434"", ""#14233c"", ""#232c3c"", ""#1c2c4b"", ""#131c33""]","[0.01756, 0.00546, 0.00536, 0.00526, 0.005145, 0.00514, 0.004865, 0.004725]",2,blue,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/42191_no_bg.png,True,211310
42192,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-14607-001.jpg,0.07036400,#abbb9c,"[""#abbb9c"", ""#c4d4bb"", ""#b3c3a4"", ""#fdfefd"", ""#a3b394"", ""#434c3b"", ""#bcccb2"", ""#bbcbac""]","[0.018645, 0.018235, 0.018165, 0.017875, 0.017605, 0.017365, 0.01711, 0.016575]",1,gray,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/42192_no_bg.png,True,228897
42199,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-14605-066.jpg,0.51100800,#fdfdfe,"[""#fdfdfe"", ""#5a5c5b"", ""#f2f4f5"", ""#f3f6f9"", ""#535554"", ""#f5fafc"", ""#edf2f4"", ""#eaeced""]","[0.11815156, 0.02660601, 0.01746085, 0.01725217, 0.01717392, 0.01577058, 0.01420552, 0.01025636]",2,blue,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/42199_no_bg.png,True,191686
