objectID,hue_group,mean_hue,distance_to_anchor,hue_weight,mean_saturation,swatches_used,used_source_fallback,source_manual_groups
445230,green,168.3873,38.3873,0.22997,0.26714,6,False,"[""green""]"
771016,green,168.4471,38.4471,0.452836,0.77319,3,False,"[""green""]"
46865,green,169.4834,39.4834,0.427732,0.460746,6,False,"[""green""]"
890331,green,169.581,39.581,0.169374,0.280021,4,False,"[""blue_green_family""]"
451763,green,171.4324,41.4324,0.19842,0.209187,6,False,"[""blue""]"
449686,green,172.3535,42.3535,0.308347,0.318342,6,False,"[""green""]"
670813,green,173.662,43.662,0.230761,0.366085,5,False,"[""blue_green_family""]"
46165,green,174.4074,44.4074,0.451494,0.488788,5,False,"[""cyan""]"
448686,green,174.4899,44.4899,0.025601,0.154748,2,False,"[""blue_green_family""]"
449129,green,174.5732,44.5732,0.250495,0.257248,7,False,"[""cyan""]"
449559,green,85.2748,44.7252,0.214971,0.363408,5,False,"[""green""]"
468396,green,82.8644,47.1356,0.16446,0.346928,5,False,"[""green""]"
51106,green,82.3704,47.6296,0.23988,0.264798,5,False,"[""green""]"
468397,green,80.689,49.311,0.325536,0.325536,8,False,"[""green""]"
52065,green,79.8522,50.1478,0.125659,0.167776,2,False,"[""green""]"
52610,green,79.8216,50.1784,0.481991,0.506854,6,False,"[""green""]"
57434,green,79.6021,50.3979,0.190411,0.198411,7,False,"[""celadon""]"
9336,green,79.5314,50.4686,0.310614,0.316535,7,False,"[""celadon""]"
52936,green,78.9987,51.0013,0.026452,0.106956,2,False,"[""blue_green_family"",""blue_green_family""]"
39609,green,78.8508,51.1492,0.173252,0.193267,6,False,"[""celadon""]"
51067,green,76.5141,53.4859,0.011318,0.140157,3,False,"[""blue_green_family""]"
468395,green,74.4708,55.5292,0.384383,0.413651,5,False,"[""green""]"
48461,green,74.1455,55.8545,0.053952,0.183007,3,False,"[""celadon""]"
48334,green,73.8756,56.1244,0.103671,0.319715,3,False,"[""green""]"
49856,green,73.3333,56.6667,0.020751,0.09375,1,False,"[""blue_green_family"",""blue_green_family""]"
37540,green,,999.0,0.0,0.0,0,True,"[""green""]"
42308,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
42432,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
42479,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
45929,green,,999.0,0.0,0.0,0,True,"[""green""]"
46519,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
46623,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
46654,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
46667,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
46913,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
47412,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
47443,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
47990,green,,999.0,0.0,0.0,0,True,"[""green""]"
48156,green,,999.0,0.0,0.0,0,True,"[""celadon""]"
48343,green,,999.0,0.0,0.0,0,True,"[""green""]"
48800,green,,999.0,0.0,0.0,0,True,"[""celadon""]"
49204,green,,999.0,0.0,0.0,0,True,"[""green""]"
49359,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
50036,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
50783,green,,999.0,0.0,0.0,0,True,"[""green""]"
50971,green,,999.0,0.0,0.0,0,True,"[""green""]"
53798,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
62571,green,,999.0,0.0,0.0,0,True,"[""green""]"
62722,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
63942,green,,999.0,0.0,0.0,0,True,"[""green""]"
74243,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
188777,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
250238,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
309521,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
449428,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
479661,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
479662,green,,999.0,0.0,0.0,0,True,"[""green""]"
625629,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
770974,green,,999.0,0.0,0.0,0,True,"[""blue_green_family""]"
